Ticker,Company_Name,Sub_Industry
20MICRONS.NS,20 MICRONS LTD,Minerals & Mining
21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Capital Markets
360ONE.NS,360 ONE WAM LIMITED,Capital Markets
3IINFOLTD.NS,3I INFOTECH LIMITED,IT - Services
3MINDIA.NS,3M INDIA LIMITED,Diversified
5PAISA.NS,5PAISA CAPITAL LIMITED,Capital Markets
63MOONS.NS,63 MOONS TECHNOLOGIES LTD,IT - Software
A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,Construction
AAATECH.NS,AAA TECHNOLOGIES LIMITED,IT - Services
AADHARHFC.NS,AADHAR HOUSING FINANCE L,Finance
AAKASH.NS,AAKASH EXPLORATION SER L,Oil
AARON.NS,AARON INDUSTRIES LIMITED,Industrial Manufacturing
AARTECH.NS,AARTECH SOLONICS LIMITED,Electrical Equipment
AARTIDRUGS.NS,AARTI DRUGS LTD.,Pharmaceuticals & Biotechnology
AARTIIND.NS,AARTI INDUSTRIES LTD,Chemicals & Petrochemicals
AARTIPHARM.NS,AARTI PHARMALABS LIMITED,Pharmaceuticals & Biotechnology
AARTISURF.NS,AARTI SURFACTANTS LIMITED,Chemicals & Petrochemicals
AARVI.NS,AARVI ENCON LIMITED,Commercial Services & Supplies
AAVAS.NS,AAVAS FINANCIERS LIMITED,Finance
ABB.NS,ABB INDIA LIMITED,Industrial Manufacturing
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,Pharmaceuticals & Biotechnology
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Finance
ABCOTS.NS,A B COTSPIN INDIA LIMITED,Textiles & Apparels
ABDL.NS,ALLIED BLEND N DISTILS L,Beverages
ABFRL.NS,ADITYA BIRLA FASHION & RT,Textiles & Apparels
ABINFRA.NS,A B INFRABUILD LIMITED,Construction
ABLBL.NS,ADITYA BIRLA LIFES BRAN L,Retailing
ABREL.NS,ADITYA BIRLA REAL EST LTD,Realty
ABSLAMC.NS,ADIT BIRL SUN LIF AMC LTD,Capital Markets
ACC.NS,ACC LIMITED,Other Construction Materials
ACCELYA.NS,ACCELYA SOLN INDIA LTD,IT - Services
ACCURACY.NS,ACCURACY SHIPPING LIMITED,Transport Services
ACE.NS,ACTION CONST EQUIP LTD,"Agricultural, Commercial & Construction Vehicles"
ACEINTEG.NS,ACE INTEGRATED SOLU. LTD.,Commercial Services & Supplies
